id,topic,content
8992,2,"['市盈率', '牛市', '途径', '资金', '舞台', '政策', '时期', '级别', '典型', '粉丝', '股票', '意图', '惨痛教训', '日光', '代表']"
9208,2,"['青春', '粉丝', '正确对待', '代表', '热度']"
9530,0,"['盘面', '节奏', '半导体', '粉丝', '特高压', '概念', '仓位']"
9713,0,"['女性', '粉丝', '客服', '产品', '网络', '暴力', '代言', '专属', '福特']"
9929,1,"['粉丝', '饭圈', '耻辱']"
10006,1,"['课程', '财经', '陌生人', '黑粉', '真话', '粉丝', '新粉', '得罪人', '媒体', '收费', '股票']"
10010,1,"['评论', '餐厅', '日本', '宾馆', '东京', '照片', '粉丝']"
10026,2,"['代言人', '负面影响', '脏话', '饭圈', '代言', '耻辱', '产品', '粉丝', '女性', '合作方', '意义', '素质']"
10028,1,"['牌子', '粉丝', '作品', '大团结', '主演', '代言', '代言人']"
10043,0,"['开发票', '销量', '粉丝', '真果']"
10045,1,"['粉丝', '见面会', '无法', '都行', '大风', '喜马拉雅']"
10050,2,"['负面影响', '饭圈', '代言', '素质', '耻辱', '产品', '代言人', '粉丝', '合作方', '意义']"
10054,0,"['产品', '链接', '网页', '销量', '代言', '粉丝', '作者', '代表']"
10055,2,"['群体', '谍战剧', '剧播', '大众', '编剧', '粉丝', '产品', '小说', '家庭', '伦理', '热度', '路人', '水花', '偶像', '花钱买']"
10068,2,"['负面影响', '粉丝', '身体', '代言', '百威', '真果', '产品', '啤酒', '护理', '饭圈', '耻辱', '合作方', '意义']"
10069,0,"['本质', '关系', '偶像', '粉丝', '资本']"
10081,0,"['造星', '本质', '粉丝', '偶像', '储存', '商品化', '产业', '批量生产', '所长', '追星', '身份', '工厂']"
10104,1,"['饭圈', '耻辱', '流量', '投资方', '情令', '地方', '粉丝', '大团结']"
10128,1,"['群体', '产品', '错误', '女性', '团体', '客观', '声明', '个人身份', '声誉', '创作者', '销量', '商业', '人选', '粉丝', '艺人', '亲戚朋友']"
10141,2,"['负面影响', '代言', '饭圈', '素质', '百威', '耻辱', '代言人', '啤酒', '佳洁士', '粉丝', '全网', '合作方', '意义', '产品']"
10144,1,"['粉丝', '作品', '艺人', '代言', '制度', '评论', '演员', '组团', '深度', '角度', '选择性', '消费行为', '事实', '区别', '事情', '商业']"
10168,2,"['粉丝', '代言人', '产品', '使用者', '韭菜', '回头客', '信任', '群体', '定位', '成大器', '嘴脸', '流量']"
10185,1,"['粉丝', '消费力', '弱智']"
10236,1,"['文娱', '发文', '感性', '基础', '追星', '人民', '粉丝']"
10278,1,"['艺人', '站台', '群体', '下场', '粉丝', '代言', '产品', '硬气']"
10290,0,"['追星', '价值', '粉丝', '范围', '关系', '路人', '异化', '偶像', '无辜', '文化', '宠粉', '作品']"
10294,0,"['官方', '下场', '理智', '媒体', '饭圈', '娱乐性', '耻辱', '公平性', '粉丝', '代言', '产品', '账号', '工作室', '公信力', '追星', '选择权', '双标', '公共资源']"
10308,2,"['粉丝', '专业人士', '饭圈', '资金', '消费观', '发文', '小团体', '管理权', '大局观', '业务', '畸形', '管理层', '话语权', '事件', '大粉', '专业']"
10316,0,"['粉丝', '流泪', '无辜', '同人', '文章', '代言', '喉咙', '地步', '屏蔽', '产品', '圈路', '宝地', '人肉', '节奏', '大团结', '福特', '导火索', '作者']"
10324,1,"['粉丝', '追星', '贡献', '文化', '偶像', '动机', '干嘛', '骂架']"
10328,2,"['负面影响', '饭圈', '代言', '素质', '耻辱', '产品', '代言人', '粉丝', '合作方', '意义']"
10343,2,"['负面影响', '饭圈', '代言', '素质', '耻辱', '产品', '代言人', '粉丝', '合作方', '意义']"
10350,1,"['粉丝', '爱豆', '买单', '门店', '责任']"
10359,2,"['牛股', '科技', '银行', '金融', '白马', '粉丝', '业绩', '企稳', '逻辑']"
10371,1,"['年龄段', '创作者', '粉丝', '风声', '成年人', '对家', '少年人', '圈层', '岗位', '影响力', '年龄']"
10372,0,"['战粉', '暴力', '演戏', '代言', '粉丝', '演员', '产品', '洗地', '闪光点', '网络', '哥哥']"
10398,2,"['作者', '选择权', '反观', '语言', '传话', '时刻', '代言', '历史', '产品', '政府', '事件', '粉丝']"
10402,1,"['天策', '金主', '晒单', '粉丝', '代言', '蹄子', '大马', '角色']"
10407,0,"['符号', '权力', '资本', '界限', '声明', '公告', '玩乐', '粉丝', '姓名', '个体', '暗网', '使用权', '神坛', '话术', '程度', '黑化面', '神话', '公权力']"
10436,1,"['产品', '投资商', '互联网', '金主', '偶像', '数据', '特点', '饭圈', '知名度', '艺人', '原本', '规格', '代言', '流量', '堡垒', '粉丝', '站台', '主演']"
10457,1,"['公关', '粉丝', '塑造成', '群众', '消失', '网暴', '官方', '本质', '区别', '被害人', '公司', '网友', '网络', '雪花', '热心', '暴力', '大众']"
10466,1,"['发文', '粉丝', '老婆', '小麦', '质问']"
10506,0,"['创作者', '专辑', '音乐', '空镜', '粉丝', '空间', '照片', '传统', '爱豆', '评论', '内页', '事物', '公司']"
10543,0,"['饭圈', '粉丝', '行使', '耻辱', '网警', '选择权', '代言', '事情', '江苏']"
10567,2,"['粉丝', '代言', '代言人', '亚太区', '动力']"
10570,1,"['发票', '理由', '对方', '纳税', '流程', '财务', '开发票', '纸质', '饭圈', '订单', '耻辱', '粉丝', '合法', '工作室', '快递费', '工作量', '人员']"
10583,1,"['部分', '权利', '作品', '买单', '行径', '粉丝', '博主', '根筋', '成年人']"
10615,0,"['球球', '开发票', '粉丝', '代言', '手段', '时刻', '产品', '惯用', '历史', '饭圈', '圆润', '行使']"
10720,2,"['观众', '无法', '情怀', '独家', '面世', '法师', '作品', '公司', '粉丝', '新鲜感']"
10759,2,"['银行', '网商', '小店', '粉丝', '知名品牌', '天使', '助微', '暖心', '指南', '礼包']"
10784,0,"['暴力', '资本', '网络', '开发票', '商家', '公器私用', '话题', '微博热', '公共厕所', '炸号', '粉丝', '娱乐圈', '官方']"
10797,2,"['工作室', '偶像', '品德', '色情', '产品', '通稿', '爆款', '热度', '断案', '道理', '大圣', '影视娱乐', '粉丝', '角色', '艺人', '公平', '活人', '民生']"
10800,1,"['粉丝', '纳税', '开发票', '手段', '义务', '局限', '产品', '权利', '倡议', '吸取经验', '事件', '公民', '性质', '发票', '部分', '大团结']"
